loId,w
4527966,0.007384035883823495
4527968,0.22353205908850515
4527981,0.09096602566799711
4527986,0.10454240277623801
4527987,0.2710390013649715
4527988,0.05014488494486434
4527992,0.26019880728716005
4527998,0.0
4527999,0.21225048525484466
4528005,0.18677302678642266
4528012,0.05171576506057477
4528013,0.27264494279315193
4589419,0.06691704166193363
4604389,0.05805068127217473
4604398,0.020662346025786822
4617667,0.23475329871339895
4619646,0.19707329104037924
4625626,0.19947552965272952
4625677,1.0
4630203,0.20054381806289423
4636638,0.19276992110927035
4644770,0.1665085746271518
4649820,0.17074101488513355
